UFQFPN48, Pin      , AF0       , AF1       , AF2     , AF3         , AF4     , AF5       , AF6       , AF7             , AF8             , AF9                , AF10   , AF11    , AF12, AF13, AF14, AF15    , ADC1    
PIN     ,          , SYS_AF    , TIM1/TIM2 , TIM3/4/5, TIM8/9/10/11, I2C1/2/3, SPI1/2/3/4, SPI2/3/4/5, SPI3  USART1/2/3, USART3/4/5/6/7/8, I2C2/3/ TIM12/13/14, OTG1_FS, UART4/5 , SDIO,     , RNG , SYS_AF  , ADC1    
1       , VBAT     ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
2       , PC13     ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
3       , PC14     ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
4       , PC15     ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
5       , PH0      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
6       , PH1      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
7       , NRST     ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
8       , VSSA/VREF,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
9       , VDDA/VREF,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
10      , PA0      ,           , TIM2_CH1  , TIM5_CH1, TIM8_ETR    ,         ,           ,           , USART2_CTS      , UART4_TX        ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN0
11      , PA1      ,           , TIM2_CH2  , TIM5_CH2,             ,         , SPI4_MOSI ,           , USART2_RTS      , UART4_RX        ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN1
12      , PA2      ,           , TIM2_CH3  , TIM5_CH3, TIM9_CH1    ,         ,           ,           , USART2_TX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN2
13      , PA3      ,           , TIM2_CH4  , TIM5_CH4, TIM9_CH2    ,         ,           ,           , USART2_RX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN3
14      , PA4      ,           ,           ,         ,             ,         , SPI1_NSS  , SPI3_NSS  , USART2_CK       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN4
15      , PA5      ,           , TIM2_CH1  ,         , TIM8_CH1N   ,         , SPI1_SCK  ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN5
16      , PA6      ,           , TIM1_BKIN , TIM3_CH1, TIM8_BKIN   ,         , SPI1_MISO ,           ,                 ,                 , TIM13_CH1          ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN6
17      , PA7      ,           , TIM1_CH1N , TIM3_CH2, TIM8_CH1N   ,         , SPI1_MOSI ,           ,                 ,                 , TIM14_CH1          ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN7
18      , PB0      ,           , TIM1_CH2N , TIM3_CH3, TIM8_CH2N   ,         ,           , SPI5_SCK  ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN8
19      , PB1      ,           , TIM1_CH3N , TIM3_CH4, TIM8_CH3N   ,         ,           , SPI5_NSS  ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT, ADC1_IN9
20      , PB2      ,           , LPTIM1_OUT,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
21      , PB10     ,           , TIM2_CH3  ,         ,             , I2C2_SCL, SPI2_SCK  ,           , USART3_TX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
22      , VCAP1    ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
23      , VSS      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
24      , VDD      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
25      , PB12     ,           , TIM1_BKIN ,         ,             ,         , SPI2_NSS  , SPI4_NSS  , SPI3_SCK        , USART3__CK      ,                    ,        , UART5_RX,     ,     ,     , EVENTOUT,         
26      , PB13     ,           , TIM1_CH1N ,         ,             ,         , SPI2_SCK  , SPI4_SCK  ,                 , USART3_CTS      ,                    ,        , UART5_TX,     ,     ,     , EVENTOUT,         
27      , PB14     ,           , TIM1_CH2N ,         , TIM8_CH2N   ,         , SPI2_MISO ,           , USART3_RTS      ,                 , TIM12_CH1          ,        ,         ,     ,     ,     , EVENTOUT,         
28      , PB15     , RTC_REFIN , TIM1_CH3N ,         , TIM8_CH3N   ,         , SPI2_MOSI ,           ,                 ,                 , TIM12_CH2          ,        ,         ,     ,     ,     , EVENTOUT,         
29      , PA8      , MCO_1     , TIM1_CH1  ,         ,             , I2C3_SCL,           ,           , USART1_CK       , UART7_RX        ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
30      , PA9      ,           , TIM1_CH2  ,         ,             ,         , SPI2_SCK  ,           , USART1_TX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
31      , PA10     ,           , TIM1_CH3  ,         ,             ,         , SPI2_MOSI , SPI5_MOSI , USART1_RX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
32      , PA11     ,           , TIM1_CH4  ,         ,             ,         , SPI2_NSS  , SPI4_MISO , USART1_CTS      , USART6_TX       ,                    ,        , UART4_RX,     ,     ,     , EVENTOUT,         
33      , PA12     ,           , TIM1_ETR  ,         ,             ,         , SPI2_MISO , SPI5_MISO , USART1_RTS      , USART6_RX       ,                    ,        , UART4_TX,     ,     ,     , EVENTOUT,         
34      , PA13     , JTMS/SWDIO,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
35      , VSS      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
36      , VDD      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
37      , PA14     , JTCK/SWCLK,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
38      , PA15     , JTDI      , TIM2_CH1  ,         ,             ,         , SPI1_NSS  , SPI3_NSS  , USART1_TX       , UART7_TX        ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
39      , PB3      , JTDO      , TIM2_CH2  ,         ,             ,         , SPI1_SCK  , SPI3_SCK  , USART1_RX       , UART7_RX        , I2C2_SDA           ,        ,         ,     ,     ,     , EVENTOUT,         
40      , PB4      , JTRST     ,           , TIM3_CH1,             ,         , SPI1_MISO , SPI3_MISO ,                 , UART7_TX        , I2C3_SDA           ,        ,         ,     ,     ,     , EVENTOUT,         
41      , PB5      ,           , LPTIM1_IN1, TIM3_CH2,             ,         , SPI1_MOSI , SPI3_MOSI ,                 ,                 ,                    ,        , UART5_RX,     ,     ,     , EVENTOUT,         
42      , PB6      ,           , LPTIM1_ETR, TIM4_CH1,             , I2C1_SCL,           ,           , USART1_TX       ,                 ,                    ,        , UART5_TX,     ,     ,     , EVENTOUT,         
43      , PB7      ,           , LPTIM1_IN2, TIM4_CH2,             , I2C1_SDA,           ,           , USART1_RX       ,                 ,                    ,        ,         ,     ,     ,     , EVENTOUT,         
44      , BOOT0    ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
45      , PB8      ,           , LPTIM1_OUT, TIM4_CH3, TIM10_CH1   , I2C1_SCL,           , SPI5_MOSI ,                 , CAN1_RX         , I2C3_SDA           ,        , UART5_RX,     ,     ,     , EVENTOUT,         
46      , PB9      ,           ,           , TIM4_CH4, TIM11_CH1   , I2C1_SDA, SPI2_NSS  ,           ,                 , CAN1_TX         , I2C2_SDA           ,        , UART5_TX,     ,     ,     , EVENTOUT,         
47      , VSS      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
48      , VDD      ,           ,           ,         ,             ,         ,           ,           ,                 ,                 ,                    ,        ,         ,     ,     ,     ,         ,         
