
UFQFPN48, Pin      , AF0              , AF1              , AF2                    , AF3                    , AF4              , AF5          , AF6      , AF7       , AF8            , AF9, AF10, AF11, AF12, AF13      , AF14                  , AF15    , ADC1     , ADC4
PIN     , SYS_AF   , CRS LPTIM1 SYS_AF, LPTIM1 TIM1/2/5/8, LPTIM1/2/3 TIM1/2/3/4/5, I2C4 SPI2 TIM1/8 USART2, I2C1/2/3/4 LPTIM3, I2C4 SPI1/2/3, I2C3 SPI3, USART1/2/3, LPUART1 UART4/5, -- , --  , --  , --  , LPTIM2/4  , LPTIM2/3 TIM2/15/16/17,         ,          , 
1       , VBAT     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
2       , PC13     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
3       , PC14     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
4       , PC15     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
5       , PH0      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
6       , PH1      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
7       , NRST     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
8       , VSSA     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
9       , VDDA     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
10      , PA0      ,                  , TIM2_CH1         , TIM5_CH1               , TIM8_ETR               ,                  ,              ,          ,           , UART4_TX       ,    ,     ,     ,     ,           , TIM2_ETR              , EVENTOUT, ADC1_IN5 , 
11      , PA1      , LPTIM1_CH2       , TIM2_CH2         , TIM5_CH2               ,                        ,                  , SPI1_SCK     ,          ,           , UART4_RX       ,    ,     ,     ,     ,           , TIM15_CH1N            , EVENTOUT, ADC1_IN6 , 
12      , PA2      ,                  , TIM2_CH3         , TIM5_CH3               ,                        ,                  ,              ,          , USART2_TX , LPUART1_TX     ,    ,     ,     ,     ,           , TIM15_CH1             , EVENTOUT, ADC1_IN7 , 
13      , PA3      ,                  , TIM2_CH4         , TIM5_CH4               ,                        ,                  ,              ,          , USART2_RX , LPUART1_RX     ,    ,     ,     ,     ,           , TIM15_CH2             , EVENTOUT, ADC1_IN8 , 
14      , PA4      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           , LPTIM2_CH1            , EVENTOUT, ADC1_IN9 , ADC4_IN9
15      , PA5      , CSLEEP           , TIM2_CH1         , TIM2_ETR               , TIM8_CH1N              ,                  , SPI1_SCK     ,          , USART3_RX ,                ,    ,     ,     ,     ,           , LPTIM2_ETR            , EVENTOUT, ADC1_IN10, ADC4_IN10
16      , PA6      , CDSTOP           , TIM1_BKIN        , TIM3_CH1               , TIM8_BKIN              ,                  , SPI1_MISO    ,          ,           ,                ,    ,     ,     ,     ,           , TIM16_CH1             , EVENTOUT, ADC1_IN11, ADC4_IN11
17      , PA7      , SRDSTOP          , TIM1_CH1N        , TIM3_CH2               , TIM8_CH1N              , I2C3_SCL         , SPI1_MOSI    ,          , USART3_TX ,                ,    ,     ,     ,     , LPTIM2_CH2, TIM17_CH1             , EVENTOUT, ADC1_IN12, ADC4_IN20
18      , PB0      ,                  , TIM1_CH2N        , TIM3_CH3               , TIM8_CH2N              , LPTIM3_CH1       ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT, ADC1_IN15, ADC4_IN18
19      , PB1      ,                  , TIM1_CH3N        , TIM3_CH4               , TIM8_CH3N              , LPTIM3_CH2       ,              ,          ,           ,                ,    ,     ,     ,     ,           , LPTIM2_IN1            , EVENTOUT, ADC1_IN16, ADC4_IN19
20      , PB2      ,                  , LPTIM1_CH1       ,                        , TIM8_CH4N              ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT, ADC1_IN17, 
21      , PB10     ,                  , TIM2_CH3         , LPTIM3_CH1             , I2C4_SCL               , I2C2_SCL         , SPI2_SCK     ,          , USART3_TX , LPUART1_RX     ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
22      , VCAP     ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
23      , VSS      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
24      , VDD      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
25      , PB12     ,                  , TIM2_BK1N        ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           , TIM15_BKIN            , EVENTOUT,          , 
26      , PB13     ,                  , TIM1_CH1N        , LPTIM3_IN1             ,                        , I2C2_SCL         , SPI2_SCK     ,          ,           ,                ,    ,     ,     ,     ,           , TIM15_CH1N            , EVENTOUT,          , 
27      , PB14     ,                  , TIM1_CH2N        , LPTIM3_ETR             , TIM8_CH2N              , I2C2_SDA         , SPI2_MISO    ,          ,           ,                ,    ,     ,     ,     ,           , TIM15_CH1             , EVENTOUT,          , 
28      , PB15     , RTC_REFIN        , TIM1_CH3N        , LPTIM2_IN2             , TIM8_CH3N              ,                  , SPI2_MOSI    ,          ,           ,                ,    ,     ,     ,     ,           , TIM15_CH2             , EVENTOUT,          , 
29      , PA8      , MCO              , TIM1_CH1         ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           , LPTIM2_CH1            , EVENTOUT,          , 
30      , PA9      ,                  , TIM1_CH2         ,                        , SPI2_SCK               ,                  ,              ,          , USART1_TX ,                ,    ,     ,     ,     ,           , TIM15_BKIN            , EVENTOUT,          , 
31      , PA10     , CRS_SYNC         , TIM1_CH3         , LPTIM2_IN2             ,                        ,                  ,              ,          , USART1_RX ,                ,    ,     ,     ,     ,           , TIM17_BKIN            , EVENTOUT,          , 
32      , PA11     ,                  , TIM1_CH4         , TIM1_BKIN2             ,                        ,                  , SPI1_MISO    ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
33      , PA12     ,                  , TIM1_ETR         ,                        ,                        ,                  , SPI1_MOSI    ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
34      , PA13     , JTMS/SWDIO       , IR_OUT           ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
35      , VSS      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
36      , VDD      ,                  ,                  ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       ,         ,          , 
37      , PA14     , JTCK/SWCLK       , LPTIM1_CH1       ,                        ,                        ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
38      , PA15     , JTDI             , TIM2_CH1         , TIM2_ETR               , USART2_RX              ,                  ,              ,          ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
39      , PB3      , JTDO             , TIM2_CH2         , LPTIM1_CH1             ,                        , I2C1_SDA         , SPI1_SCK     , SPI3_SCK ,           ,                ,    ,     ,     ,     ,           ,                       , EVENTOUT,          , 
40      , PB4      , JTNRST           , LPTIM1_CH2       , TIM3_CH1               ,                        , I2C3_SDA         , SPI1_MISO    , SPI3_MISO,           ,                ,    ,     ,     ,     ,           , TIM17_BKIN            , EVENTOUT,          , 
41      , PB5      ,                  , LPTIM1_IN1       , TIM3_CH2               ,                        ,                  , SPI1_MOSI    , SPI3_MOSI,           ,                ,    ,     ,     ,     ,           , TIM16_BKIN            , EVENTOUT,          , 
